Report generated on: 03-02-2022 13:07:19
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.4702-33-CHN-THP.A","        China","1001920","1016442","1030738","1045352","1060870","1077968","1097450","1118778","1140450","1160928","1178835","1194030","1207420","1219575","1231055","1242310","1253222","1263498","1273252","1282608","1291648","1300265","1308412","1316265","1323998","1331752","1339482","1347098","1354648","1362188","1369778","1377488","1385268","1392988","1400508","1407740","1414805","1421755","1428392","1434512","1439935"
"INTL.4702-33-COL-THP.A","        Colombia","26900.5","27496.6","28101.8","28714.2","29331.2","29951.2","30572.5","31195.4","31822.5","32457.5","33102.6","33758.3","34422.6","35091.3","35759","36421.4","37076.4","37723.8","38364.3","38999.5","39630","40256","40875.4","41483.9","42075.9","42647.7","43200.9","43737.5","44255","44750.1","45222.7","45662.8","46075.7","46495.5","46967.7","47520.7","48175.1","48909.8","49567.5","50225.2","50882.9"
"INTL.4702-33-COM-THP.A","        Comoros","307.831","317.617","326.944","336.088","345.455","355.337","365.765","376.647","387.964","399.638","411.598","423.873","436.454","449.27","462.28","475.394","488.625","501.955","515.382","528.853","542.358","555.895","569.48","583.213","597.23","611.625","626.427","641.624","657.227","673.251","689.696","706.578","723.865","741.511","759.39","777.435","795.597","813.89","832.458","851.027","869.595"
"INTL.4702-33-COG-THP.A","        Congo-Brazzaville","1777.93","1830.63","1884.87","1940.45","1996.99","2054.31","2112.36","2171.32","2231.46","2293.16","2356.74","2422.31","2489.95","2559.88","2632.34","2707.53","2785.81","2867.28","2951.65","3038.43","3127.42","3217.93","3310.38","3406.92","3510.47","3622.77","3745.14","3876.12","4011.49","4145.4","4273.74","4394.84","4510.2","4622.76","4736.96","4856.09","4981","5110.7","5246.5","5382.29","5518.09"
"INTL.4702-33-COD-THP.A","        Congo-Kinshasa","26358.9","27040.3","27717.3","28403.9","29119.7","29881.2","30683.9","31528.7","32443.8","33464.8","34612","35908.2","37333.9","38815.8","40253","41576.2","42757.2","43827.2","44850","45919.6","47105.8","48428.5","49871.7","51425.6","53068.9","54785.9","56578.1","58453.7","60411.2","62448.6","64563.9","66755.1","69020.8","71358.8","73767.5","76244.5","78789.1","81398.8","84119.6","86840.5","89561.4"
"INTL.4702-33-COK-THP.A","        Cook Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-CRI-THP.A","        Costa Rica","2389.97","2455.59","2523.36","2593.01","2664.22","2736.72","2810.25","2884.86","2960.93","3039.01","3119.44","3202.08","3286.52","3372.3","3458.83","3545.52","3632.36","3718.95","3803.89","3885.43","3962.37","4034.07","4100.92","4164.05","4225.16","4285.5","4345.42","4404.63","4463.12","4520.74","4577.37","4633.09","4688","4742.11","4795.39","4847.81","4899.34","4949.96","4998.01","5046.06","5094.11"
"INTL.4702-33-HRV-THP.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","4570.805","4611.635","4653.74","4610.315","4551.08","4535.393","4530.968","4508.882","4371.28","4301.71","4305.425","4305.6","4308.935","4311.877","4313.14","4312.555","4310.61","4305.453","4294.728","4281.185","4267.33","4252.56","4233.377","4203.66","4167.885","4123.76","4087.215","4064.95","4045.42"
"INTL.4702-33-CUB-THP.A","        Cuba","9849.46","9898.89","9940.31","9981.3","10031.7","10097.9","10183.9","10286.6","10397.5","10504","10597","10673.5","10736.4","10789.3","10838.5","10888.2","10939.3","10989.7","11038.7","11084.7","11126.4","11164.7","11199.7","11229.2","11250.4","11261.6","11261.2","11251.1","11237","11226.7","11225.8","11236.7","11257.1","11282.7","11306.9","11324.8","11335.1","11339.2","11335","11330.8","11326.6"
"INTL.4702-33-CYP-THP.A","        Cyprus","512.3","522.845","524.623","531.518","538.397","544.605","550.888","556.584","562.693","572.655","587.141","603.069","619.231","632.944","645.399","656.333","666.313","675.215","682.862","690.497","697.549","705.539","713.72","722.893","733.067","744.013","757.916","776.333","796.93","819.14","839.751","862.011","865.878","858","847.008","848.319","854.802","864.236","875.899","888.005","895.769"
