Report generated on: 03-02-2022 20:09:03
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-KHM-BDOLPPP.A","        Cambodia","NA","NA","NA","NA","NA","NA","NA","NA","13.9063","13.8703","14.0312","15.0957","16.157","16.8181","10.9638","12.0498","12.7603","13.2715","13.8927","15.6575","17.3354","18.6256","19.851","21.5399","23.7669","26.916","29.8156","32.8608","35.0596","35.089","37.1814","39.8108","42.7006","45.895","49.1407","52.598","56.2179","60.1412","64.6331","69.1922","67.019"
"INTL.4701-34-CMR-BDOLPPP.A","        Cameroon","NA","NA","NA","NA","NA","NA","NA","NA","38.8249","38.1186","35.7912","34.4281","33.3608","30.7146","31.367","32.4553","33.8707","35.6426","37.2473","38.846","40.227","41.9835","43.7627","45.761","48.8643","49.8513","51.5752","54.1039","55.9916","57.2225","59.1807","61.6246","64.424","67.906","71.9015","75.965","79.3422","82.3175","85.6088","88.9149","89.4368"
"INTL.4701-34-CAN-BDOLPPP.A","        Canada","693.884","717.752","694.875","712.952","755.076","790.848","807.811","840.712","877.788","898.126","899.606","880.839","888.77","912.418","953.426","979.112","994.965","1037.55","1077.974","1133.629","1192.325","1213.666","1250.295","1272.819","1312.113","1354.155","1389.827","1418.622","1432.869","1390.944","1433.922","1479.036","1505.08","1540.137","1584.338","1594.781","1610.753","1659.717","1705.807","1737.87","1646.927"
"INTL.4701-34-CYM-BDOLPPP.A","        Cayman Islands","NA","NA","NA","NA","NA","NA","NA","NA","1.23595","1.3452","1.52274","1.54323","1.59069","1.66682","1.75525","1.83958","1.93143","2.03761","2.65456","2.74441","2.77128","2.78671","2.83478","2.89148","2.91744","3.10693","3.24987","3.2769","3.34067","3.10013","3.01594","3.0512","3.08872","3.12823","3.21128","3.30225","3.40925","3.51502","3.66007","3.77842","3.51389"
"INTL.4701-34-CAF-BDOLPPP.A","        Central African Republic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.39193","3.43195","3.38628","3.37448","3.54916","3.73205","3.45034","3.66153","3.82823","4.05555","4.1335","4.15956","4.13418","3.84265","3.94903","4.04308","4.23529","4.40602","4.52115","4.64829","4.86354","5.06755","5.32365","3.38627","3.38901","3.536","3.70397","3.87166","4.01837","4.13773","4.12511"
"INTL.4701-34-TCD-BDOLPPP.A","        Chad","NA","NA","NA","NA","NA","NA","NA","NA","5.80509","5.91841","6.10792","6.74326","6.90456","6.76136","7.13283","7.07755","7.22724","7.6358","8.16664","8.11086","8.03948","8.97673","9.73894","11.1727","14.93","16.1708","16.2756","16.8081","17.323","18.04","20.493","20.5176","22.3246","23.609","25.2363","25.683","24.2555","23.6783","24.2236","24.9406","24.7194"
"INTL.4701-34-CHL-BDOLPPP.A","        Chile","81.1711","84.993","76.1943","73.3403","79.2114","84.8467","89.5933","95.3867","102.332","113.401","117.7008","126.917","142.2021","152.0376","160.6791","177.9239","189.3671","203.2917","212.3576","211.2607","222.5523","229.9196","237.0527","246.7816","264.5019","279.8267","297.5142","312.1364","323.1329","318.1606","336.8231","357.0995","376.4797","391.8703","398.6152","407.622","414.22","420.044","435.861","439.69","413.2963"
"INTL.4701-34-CHN-BDOLPPP.A","        China","684.621","719.537","784.295","869","1001.087","1135.233","1236.269","1380.912","1535.574","1600.068","1662.471","1817.081","2076.477","2364.808","2672.97","2966.261","3260.692","3562.269","3842.142","4137.363","4487.852","4861.35","5304.42","5836.3","6426.52","7158.48","8068.15","9217.34","10101.81","11055.13","12228.77","13396.89","14448.43","15571.28","16722.21","17895.85","19121.77","20444.71","21822.11","23128.34","23662.87"
"INTL.4701-34-COL-BDOLPPP.A","        Colombia","NA","NA","NA","NA","NA","NA","NA","NA","240.291","249.458","259.781","266.866","278.106","293.981","306.739","322.697","329.332","340.629","342.57","328.168","338.493","344.173","352.791","366.614","386.166","403.339","430.43","459.434","474.519","479.927","501.498","536.341","557.326","585.94","612.301","630.4","643.56","652.307","669.035","690.987","644.029"
"INTL.4701-34-COM-BDOLPPP.A","        Comoros","NA","NA","NA","NA","NA","NA","NA","NA","1.13406","1.09799","1.15389","1.09163","1.18476","1.22038","1.15598","1.19771","1.18224","1.22989","1.24566","1.26963","1.40736","1.44019","1.47368","1.50468","1.53357","1.57708","1.61883","1.63178","1.69705","1.75136","1.81791","1.89244","1.953","2.04088","2.08374","2.107","2.17697","2.26003","2.33757","2.384","2.38895"
